Competencia;Data;nome;descricao;Responsavel;Valor
01/06/2023;12/06/2023;Internet;;Rafa;1273,88
01/06/2023;13/06/2023;Unisuper;;Rafa;2269,38
01/06/2023;14/06/2023;Unisuper;;Rafa;626,98
01/06/2023;15/06/2023;Unisuper;;Rafa;1028,91
01/06/2023;16/06/2023;Amazon Music;;Thais;1890,1
01/06/2023;17/06/2023;casamento bebida;;Thais;575,85
01/06/2023;18/06/2023;Colchão 10/12;;Thais;197,06
01/06/2023;19/06/2023;Megacompra;;Thais;727,93
01/06/2023;20/06/2023;Presente casamento 1/3;;Thais;407,25
01/06/2023;03/06/2023;Luz;;Thais;2324,6
01/06/2023;04/06/2023;Mercado;;Thais;2021,26
01/06/2023;05/06/2023;Arikawa;;Thais;1585,34
01/06/2023;06/06/2023;Farmácia;;Thais;2179,29
01/06/2023;07/06/2023;Gasolina;;Thais;2010,16
01/06/2023;08/06/2023;Bazar;;Thais;470,49
01/06/2023;09/06/2023;Sofá 7/10;;Thais;2231,93
01/06/2023;10/06/2023;Plantas;;Thais;1350,66
01/06/2023;11/06/2023;Café Lila;;Thais;2019,56
01/06/2023;12/06/2023;Aplause;;Thais;2240,75
01/06/2023;13/06/2023;Ferragem;;Thais;798,42
01/06/2023;14/06/2023;Bazar;;Thais;279,58
01/06/2023;15/06/2023;Vassourinha 1/2;;Thais;573,7
01/06/2023;16/06/2023;Banca 12;;Thais;1070,63
01/06/2023;17/06/2023;Fruteira;;Thais;2045,95
01/06/2023;18/06/2023;Juros obra 5/36;;Thais;2152,52
01/07/2023;06/07/2023;boleto AP1;jun/36;Rafa;22,35
01/07/2023;07/07/2023;boleto AP2;jun/36;Rafa;1279,31
01/07/2023;08/07/2023;boleto AP3;jun/36;Rafa;1046,44
01/07/2023;09/07/2023;AmazonPrime;;Rafa;559,16
01/07/2023;10/07/2023;Carnes Kalunga;;Rafa;304,06
01/07/2023;11/07/2023;Comida Gordo;;Rafa;847,35
01/07/2023;12/07/2023;Lavagem Carro;;Rafa;2357,56
01/07/2023;13/07/2023;Moveis Cleber;;Rafa;811,39
01/07/2023;14/07/2023;Aluguel;;Rafa;1299,38
01/07/2023;15/07/2023;Internet;;Rafa;1759,03
01/07/2023;16/07/2023;Amazon Music;;Thais;912,26
01/07/2023;17/07/2023;Colchão 11/12;;Thais;2429,6
01/07/2023;18/07/2023;Presente casamento 2/3;;Thais;2406,31
01/07/2023;19/07/2023;Luz;;Thais;633,2
01/07/2023;20/07/2023;Mercado;;Thais;1245,64
01/07/2023;04/07/2023;Farmácia;;Thais;755,69
01/07/2023;05/07/2023;Bazar;;Thais;715,68
01/07/2023;06/07/2023;Sofá 8/10;;Thais;97,03
01/07/2023;07/07/2023;Comer fora;;Thais;1525,86
01/07/2023;08/07/2023;Vassourinha 2/2;;Thais;1259,18
01/07/2023;09/07/2023;Juros obra 6/36;;Thais;133,44
01/07/2023;10/07/2023;Fruteira;;Thais;700,22
01/07/2023;11/07/2023;Presente Tamara;;Thais;2271,12
01/08/2023;02/08/2023;boleto AP1;jul/36;Rafa;602,71
01/08/2023;03/08/2023;boleto AP2;jul/36;Rafa;366,51
01/08/2023;04/08/2023;boleto AP3;jul/36;Rafa;1226,18
01/08/2023;05/08/2023;Aluguel;;Rafa;2464,2
01/08/2023;06/08/2023;Internet;;Rafa;608,93
01/08/2023;07/08/2023;Unisuper;;Rafa;1681,98
01/08/2023;08/08/2023;Unisuper;;Rafa;1905,24
01/08/2023;09/08/2023;Hiperbem;;Rafa;597,91
01/08/2023;10/08/2023;Fruteira;;Rafa;1821,9
01/08/2023;11/08/2023;Amazon Music;;Thais;922,62
01/08/2023;12/08/2023;Cambota show;;Thais;1582,6
01/08/2023;13/08/2023;Colchão 12/12;;Thais;1585,66
01/08/2023;14/08/2023;Presente casamento 3/3;;Thais;1341,76
01/08/2023;15/08/2023;produto de limpeza;;Thais;230,27
01/08/2023;16/08/2023;Luz;;Thais;2089,08
01/08/2023;17/08/2023;Mercado;;Thais;805,35
01/08/2023;18/08/2023;Farmácia;;Thais;470,36
01/08/2023;19/08/2023;Ferragem;;Thais;106,73
01/08/2023;20/08/2023;Sofá 9/10;;Thais;1479,28
01/08/2023;21/08/2023;Comer fora;;Thais;1695,52
01/08/2023;22/08/2023;Mega Compra;;Thais;46,39
01/08/2023;02/08/2023;Juros obra 6/36;;Thais;1282,67
01/08/2023;03/08/2023;Creatina;;Thais;570,11
01/08/2023;04/08/2023;Chico Felliti;;Thais;1614,71
01/08/2023;05/08/2023;Gasosa;;Thais;440,04
01/08/2023;06/08/2023;Banca 12;;Thais;1728,89
01/08/2023;07/08/2023;kit chima;;Thais;969,9
01/09/2023;03/09/2023;boleto AP1;ago/36;Rafa;2342,14
01/09/2023;04/09/2023;boleto AP2;ago/36;Rafa;348,11
01/09/2023;05/09/2023;boleto AP3;ago/36;Rafa;855,96
01/09/2023;06/09/2023;Carne Vinicius;;Rafa;288,12
01/09/2023;07/09/2023;Chips expointer;;Rafa;2312,11
01/09/2023;08/09/2023;Dsw Bichomimado;;Rafa;2193,96
01/09/2023;09/09/2023;Estacionamento;;Rafa;648,56
01/09/2023;10/09/2023;Mercado das frutas;;Rafa;1651,66
01/09/2023;11/09/2023;Mercado Itapema;;Rafa;2043,97
01/09/2023;12/09/2023;OCV Ferragem;;Rafa;1390,23
01/09/2023;13/09/2023;Posto Sorocaba;;Rafa;1326,48
01/09/2023;14/09/2023;Queijo Expointer;;Rafa;608,42
01/09/2023;15/09/2023;Sim Freeway;;Rafa;237,29
01/09/2023;16/09/2023;Suco expointer;;Rafa;2243,55
01/09/2023;17/09/2023;Unisuper 26.08;;Rafa;2251,54
01/09/2023;18/09/2023;Aluguel;;Rafa;1584,59
01/09/2023;19/09/2023;Internet;;Rafa;850,88
01/09/2023;20/09/2023;Almoco itapema dos Pais;;Rafa;876,28
01/09/2023;21/09/2023;Pao Expointer;;Rafa;1816,26
01/09/2023;22/09/2023;Forcafe;;Rafa;2243,29
01/09/2023;23/09/2023;Amazon Music;;Thais;2218,28
01/09/2023;24/09/2023;Juros obra 4/36;;Thais;1950,79
01/09/2023;25/09/2023;Mercado;;Thais;1606,87
01/09/2023;26/09/2023;Farmácia;;Thais;214,93
01/09/2023;27/09/2023;Farmacenter;;Thais;408,26
01/09/2023;28/09/2023;Ingressos;;Thais;2246,89
01/09/2023;29/09/2023;Lencol;;Thais;1518,04
01/09/2023;30/09/2023;Sta Catarina;;Thais;27,95
01/09/2023;05/09/2023;Sofá 10/10;;Thais;258,17
01/09/2023;06/09/2023;Comer fora;;Thais;1660,44
01/09/2023;07/09/2023;Jarra eletrica 1/3;;Thais;17,63
01/09/2023;08/09/2023;Ferragem;;Thais;406,22
01/09/2023;09/09/2023;Chico Felliti;;Thais;1374,09
01/09/2023;10/09/2023;Banca 12;;Thais;1731,28
01/09/2023;11/09/2023;Luz;;Thais;1631,64
01/09/2023;12/09/2023;Expointer;;Thais;564,55
01/10/2023;05/10/2023;boleto AP1;ago/36;Rafa;1781,89
01/10/2023;06/10/2023;boleto AP2;ago/36;Rafa;596,94
01/10/2023;07/10/2023;boleto AP3;ago/36;Rafa;816,87
01/10/2023;08/10/2023;Carnes Kalunga;;Rafa;1867,5
01/10/2023;09/10/2023;Carnes Vinicius;;Rafa;1625,83
01/10/2023;10/10/2023;Posto Tadeu;;Rafa;2123,81
01/10/2023;11/10/2023;Aluguel;;Rafa;1645,74
01/10/2023;12/10/2023;Internet;;Rafa;1422,93
01/10/2023;13/10/2023;OCV;;Rafa;238,72
01/10/2023;14/10/2023;Unisuper;;Rafa;922,45
01/10/2023;15/10/2023;Amazon Music;;Thais;666,68
01/10/2023;16/10/2023;Juros obra 5;;Thais;613,75
01/10/2023;17/10/2023;Mercado;;Thais;2432,66
01/10/2023;18/10/2023;Frutaria;;Thais;985,78
01/10/2023;19/10/2023;Estacionamento;;Thais;2230,66
01/10/2023;20/10/2023;casa;;Thais;1579,69
01/10/2023;21/10/2023;Assistencia;;Thais;1988,05
01/10/2023;22/10/2023;Gasolina;;Thais;1259,08
01/10/2023;23/10/2023;Comer fora;;Thais;1444,38
01/10/2023;24/10/2023;Jarra eletrica 2/3;;Thais;1233,83
01/10/2023;25/10/2023;Esquimo;;Thais;492,13
01/10/2023;26/10/2023;Novarejosa;;Thais;1807,52
01/10/2023;27/10/2023;kalunga;;Thais;705,53
01/10/2023;28/10/2023;Luz;;Thais;65,67
01/10/2023;29/10/2023;Produto de limpeza;;Thais;1615,45
01/10/2023;30/10/2023;B12;;Thais;446,89
01/10/2023;09/10/2023;Troca oleo;;Thais;2351,44
01/11/2023;03/11/2023;Luz;;Thais;2385,05
01/11/2023;04/11/2023;Carne;;Thais;2287,59
01/11/2023;05/11/2023;Fruteira;;Thais;928,55
01/11/2023;06/11/2023;whey;;Thais;43,56
01/11/2023;07/11/2023;Habbibs;;Thais;2321,15
01/11/2023;08/11/2023;Mercado;;Thais;1073,32
01/11/2023;09/11/2023;Panvel;;Thais;2416,8
01/11/2023;10/11/2023;Comer fora;sushi;Thais;2409,23
01/11/2023;11/11/2023;Café;;Thais;2133,26
01/11/2023;12/11/2023;Aluguel;;Rafa;739,65
01/11/2023;13/11/2023;Internet;;Rafa;965,82
01/11/2023;14/11/2023;boleto AP1;ago/36;Rafa;2128,59
01/11/2023;15/11/2023;boleto AP2;ago/36;Rafa;795,72
01/11/2023;16/11/2023;boleto AP3;ago/36;Rafa;427,88
01/11/2023;17/11/2023;Habbibs;;Rafa;1394,22
01/11/2023;18/11/2023;OCV Ferragem;;Rafa;2340,71
01/11/2023;19/11/2023;Faxina;;Rafa;1741,59
01/12/2023;05/12/2023;boleto AP1;set/36;Rafa;1427,3
01/12/2023;06/12/2023;boleto AP2;set/36;Rafa;247,46
01/12/2023;07/12/2023;boleto AP3;set/36;Rafa;1539,44
01/12/2023;08/12/2023;Kabum Alexa Natal;;Rafa;2475,18
01/12/2023;09/12/2023;Ração Gordo;;Rafa;354,51
01/12/2023;10/12/2023;Aluguel;;Rafa;1298,23
01/12/2023;11/12/2023;Internet;;Rafa;2194,05
01/12/2023;12/12/2023;Faxina 2x;;Rafa;1853,22
01/12/2023;13/12/2023;Amazon Prime;;Thais;1744,05
01/12/2023;14/12/2023;Manutenção Etios 1/4;;Thais;1757,7
01/12/2023;15/12/2023;Luz;;Thais;901,93
01/12/2023;16/12/2023;Juros Obra;;Thais;737,51
01/12/2023;17/12/2023;Juros Obra;;Thais;2024,36
01/12/2023;18/12/2023;jarra 3/3;;Thais;2026,23
01/12/2023;19/12/2023;Mercado;;Thais;2168,35
01/12/2023;20/12/2023;Carne;;Thais;2283,54
01/12/2023;21/12/2023;Gravatai;;Thais;1280,8
01/12/2023;22/12/2023;Fruteira;;Thais;1256,28
01/12/2023;23/12/2023;Gasolina;;Thais;1996,75
01/12/2023;24/12/2023;OCV;;Thais;1626,66
01/12/2023;25/12/2023;Frigideira;;Thais;1756,41
01/12/2023;26/12/2023;Comer fora;;Thais;1990,5
01/12/2023;27/12/2023;Riachuello;;Thais;2225,56
01/12/2023;28/12/2023;Sabonete;;Thais;848,3
01/12/2023;29/12/2023;Casa Bahia (airfreyer);;Thais;942,08
01/12/2023;30/12/2023;Alipay (fone);;Thais;239,48
01/12/2023;31/12/2023;DSW AGROPECU-CT (BichoMimado);;Thais;1447,81
01/01/2024;01/01/2024;Luz;;Thais;94,68
01/01/2024;02/01/2024;juros Obra;;Thais;1166,67
01/01/2024;03/01/2024;Manutenção Etios 2/4;;Thais;1358,9
01/01/2024;04/01/2024;Mercado ;;Thais;719,92
01/01/2024;05/01/2024;Mercado das frutas;;Thais;1479,13
01/01/2024;06/01/2024;Casa maria;;Thais;81,1
01/01/2024;07/01/2024;Prime ;;Thais;98,18
01/01/2024;08/01/2024;Gasolina;;Thais;2057,39
01/01/2024;09/01/2024;Boteko Navegantes ;;Thais;903,68
01/01/2024;10/01/2024;Havan 1/2 ;;Thais;322,02
01/01/2024;11/01/2024;Amazon?;;Thais;1308,0
01/01/2024;12/01/2024;Fachi;;Thais;1926,13
01/01/2024;13/01/2024;B12 ;;Thais;543,47
01/01/2024;14/01/2024;Copal;;Thais;1559,11
01/01/2024;15/01/2024;Riachuelo 2/3;;Thais;217,94
01/01/2024;16/01/2024;Comer fora ;;Thais;133,95
01/01/2024;17/01/2024;Presentes;;Thais;1330,73
01/01/2024;18/01/2024;Borrifador;;Thais;1353,88
01/01/2024;19/01/2024;Aluguel;;Rafa;1595,39
01/01/2024;20/01/2024;Internet;;Rafa;1816,6
01/01/2024;21/01/2024;boleto AP1;dez/36;Rafa;2439,75
01/01/2024;22/01/2024;boleto AP2;dez/36;Rafa;1293,17
01/01/2024;23/01/2024;Pizzaria Canoense;;Rafa;810,78
01/01/2024;24/01/2024;Agromeyer;;Rafa;1988,99
01/01/2024;25/01/2024;Whey;;Rafa;680,73
01/01/2024;26/01/2024;IPVA;;Rafa;1100,23
01/01/2024;23/01/2024;Conectcar;;Rafa;200,75
01/01/2024;24/01/2024;Conectcar;;Rafa;68,25
01/01/2024;25/01/2024;Pizzaria Canoense;;Rafa;2406,81
01/01/2024;26/01/2024;Faxina;;Rafa;2090,77
01/02/2024;23/12/2023;boleto AP1;13/36;Rafa;1741,46
01/02/2024;24/12/2023;boleto AP2;13/36;Rafa;1025,34
01/02/2024;25/12/2023;boleto AP3;13/36;Rafa;437,37
01/02/2024;26/12/2023;Aluguel;;Rafa;395,31
01/02/2024;27/12/2023;Internet;;Rafa;629,36
01/02/2024;28/12/2023;Faxina;;Rafa;1375,32
01/02/2024;29/12/2023;Mel;;Rafa;1787,92
01/02/2024;30/12/2023;Mandolin;;Rafa;1652,19
01/02/2024;31/12/2023;Luz;;Thais;703,44
01/02/2024;01/01/2024;juros Obra;;Thais;2387,39
01/02/2024;02/01/2024;Manutenção Etios 3/4;;Thais;1846,05
01/02/2024;03/01/2024;Mercado ;;Thais;1388,11
01/02/2024;04/01/2024;Mercado das frutas;;Thais;1531,24
01/02/2024;05/01/2024;Churras Mavi;;Thais;1051,9
01/02/2024;06/01/2024;Prime ;;Thais;623,09
01/02/2024;07/01/2024;Gasolina;;Thais;893,15
01/02/2024;08/01/2024;Agromeyer;;Thais;1895,83
01/02/2024;09/01/2024;Havan 2/2 ;;Thais;40,91
01/02/2024;10/01/2024;Pioca Cinema ;;Thais;294,6
01/02/2024;11/01/2024;Gordinho Mimado ;;Thais;119,78
01/02/2024;12/01/2024;Kalunga;;Thais;106,62
01/02/2024;13/01/2024;Estacionamento ;;Thais;2139,37
01/02/2024;14/01/2024;Riachuelo 3/3;;Thais;1760,63
01/02/2024;15/01/2024;Comer fora ;;Thais;1188,06
01/02/2024;16/01/2024;Shoppe;;Thais;249,1
01/02/2024;17/01/2024;Bike 1/4;;Thais;1231,58
01/03/2024;18/01/2024;boleto AP1;14/36;Rafa;1186,31
01/03/2024;19/01/2024;boleto AP2;14/36;Rafa;437,14
01/03/2024;20/01/2024;boleto AP3;14/36;Rafa;1087,46
01/03/2024;21/01/2024;Orla Bar ;Comer  fora;Rafa;999,27
01/03/2024;22/01/2024;Aluguel;;Rafa;1541,55
01/03/2024;23/01/2024;Internet;;Rafa;1589,56
01/03/2024;24/01/2024;Faxina;;Rafa;118,03
01/03/2024;25/01/2024;Pedagio;;Rafa;939,66
01/03/2024;26/01/2024;Gasolina;;Rafa;1566,52
01/03/2024;27/01/2024;Mercado Koch;;Rafa;1260,32
01/03/2024;28/01/2024;Luz;;Thais;2141,94
01/03/2024;29/01/2024;juros Obra;;Thais;1648,44
01/03/2024;30/01/2024;Manutenção Etios 4/4;;Thais;411,52
01/03/2024;31/01/2024;Mercado ;;Thais;181,07
01/03/2024;01/02/2024;Mercado das frutas;;Thais;1607,84
01/03/2024;02/02/2024;Passagem 1/2 ;;Thais;71,15
01/03/2024;03/02/2024;Prime ;;Thais;1466,51
01/03/2024;04/02/2024;Gasolina;;Thais;2350,87
01/03/2024;05/02/2024;Troca Óleo 1/2;;Thais;1440,81
01/03/2024;06/02/2024;Compras casa atacado 1/2;;Thais;973,48
01/03/2024;07/02/2024;Comer fora ;;Thais;1610,0
01/03/2024;08/02/2024;Shoppe;;Thais;1148,34
01/03/2024;09/02/2024;Trava Bike1/2;;Thais;1366,31
01/03/2024;10/02/2024;Farmácia ;;Thais;2353,95
01/04/2024;11/02/2024;boleto AP1;15/36;Rafa;968,33
01/04/2024;12/02/2024;boleto AP2;15/36;Rafa;2403,17
01/04/2024;13/02/2024;boleto AP3;15/36;Rafa;2263,85
01/04/2024;14/02/2024;Aluguel;;Rafa;493,5
01/04/2024;15/02/2024;Internet;;Rafa;178,06
01/04/2024;16/02/2024;Faxina;;Rafa;256,44
01/04/2024;17/02/2024;geladeira;;Rafa;50,46
01/04/2024;18/02/2024;Estante;;Rafa;240,64
01/04/2024;19/02/2024;ração gordo;;Rafa;1709,1
01/04/2024;20/02/2024;OCV;;Rafa;182,62
01/04/2024;21/02/2024;Mercado das fruta;;Rafa;800,84
01/04/2024;22/02/2024;Luz;;Thais;2112,96
01/04/2024;23/02/2024;Juro Obra;;Thais;63,06
01/04/2024;24/02/2024;Mercado das frutas;;Thais;2037,1
01/04/2024;25/02/2024;Mercado ;;Thais;708,23
01/04/2024;26/02/2024;Troca Óleo 2/2;;Thais;299,82
01/04/2024;27/02/2024;Trava Bike 2/2;;Thais;1743,36
01/04/2024;28/02/2024;Estacionamento ;;Thais;1574,21
01/04/2024;29/02/2024;Comer fora;;Thais;2194,29
01/04/2024;01/03/2024;Prime;;Thais;1839,0
01/04/2024;02/03/2024;Banca 12 ;;Thais;2009,68
01/04/2024;03/03/2024;Gás;;Thais;708,68
01/04/2024;04/03/2024;Gassolina ;;Thais;447,71
01/04/2024;05/03/2024;Meia do Dudu;;Thais;1877,78
01/04/2024;06/03/2024;Mega POA;;Thais;2018,05
01/04/2024;07/03/2024;Hermes;;Thais;2476,31
01/04/2024;08/03/2024;Açai;;Thais;1034,48
01/04/2024;09/03/2024;Whey;;Thais;933,19
01/04/2024;10/03/2024;Compras casa atacado 2/2;;Thais;1942,15
01/04/2024;11/03/2024;OCV;;Thais;855,3
01/04/2024;12/03/2024;Passagem 1/2 ;;Thais;2327,24
01/04/2024;13/03/2024;Suporte gáss;;Thais;2146,74
01/04/2024;14/03/2024;Papel de parede;;Thais;1075,34
01/05/2024;15/03/2024;boleto AP1;16/36;Rafa;1878,42
01/05/2024;16/03/2024;boleto AP2;16/36;Rafa;1887,58
01/05/2024;17/03/2024;boleto AP3;16/36;Rafa;262,29
01/05/2024;18/03/2024;Aluguel;;Rafa;2256,87
01/05/2024;19/03/2024;Internet;;Rafa;1265,6
01/05/2024;20/03/2024;Faxina;;Rafa;2067,01
01/05/2024;21/03/2024;Manutencao Seu Paulo;;Rafa;803,52
01/05/2024;22/03/2024;Vacina Gordo;;Rafa;2239,33
01/05/2024;23/03/2024;Capo Pizzaria;;Rafa;976,06
01/05/2024;24/03/2024;Lavagem Carro;;Rafa;32,04
01/05/2024;25/03/2024;Luz;;Thais;2263,93
01/05/2024;26/03/2024;Juro Obra;;Thais;232,76
01/05/2024;27/03/2024;Mercado das frutas;;Thais;801,69
01/05/2024;28/03/2024;Mercado ;;Thais;2375,4
01/05/2024;29/03/2024;Whey;;Thais;2376,76
01/05/2024;30/03/2024;Amazon???;;Thais;1435,73
01/05/2024;31/03/2024;Estacionamento ;;Thais;1581,43
01/05/2024;01/04/2024;Comer fora;;Thais;1123,87
01/05/2024;02/04/2024;Prime;;Thais;736,56
01/05/2024;03/04/2024;Tamavi ;;Thais;825,02
01/05/2024;04/04/2024;Gassolina ;;Thais;1682,93
01/05/2024;05/04/2024;Farmacia;;Thais;1882,17
01/05/2024;06/04/2024;OCV;;Thais;1979,99
01/06/2024;07/04/2024;boleto AP1;17/36;Rafa;1975,1
01/06/2024;08/04/2024;boleto AP2;17/36;Rafa;232,56
01/06/2024;09/04/2024;boleto AP3;17/36;Rafa;1238,58
01/06/2024;10/04/2024;Aluguel;;Rafa;148,61
01/06/2024;11/04/2024;Internet;;Rafa;1376,07
01/06/2024;12/04/2024;Faxina casa andre;;Rafa;1106,62
01/06/2024;13/04/2024;Estacionamento Tamara;;Rafa;2219,82
01/06/2024;14/04/2024;Pedagios ;;Rafa;880,53
01/06/2024;15/04/2024;Posto gasolina;;Rafa;297,08
01/06/2024;16/04/2024;Panvel;;Rafa;361,76
01/06/2024;17/04/2024;Mercado ;;Thais;1904,97
01/06/2024;18/04/2024;Mercado das frutas;;Thais;1547,45
01/06/2024;19/04/2024;Creatina ;;Thais;257,3
01/06/2024;20/04/2024;Whey;;Thais;214,85
01/06/2024;21/04/2024;Conserto aspirador;;Thais;1753,92
01/06/2024;22/04/2024;Gasolina;;Thais;186,54
01/06/2024;23/04/2024;Amazon Prime;;Thais;2055,54
01/06/2024;24/04/2024;Lavanderia ;;Thais;1767,07
01/06/2024;25/04/2024;Casa Londres;;Thais;207,97
01/06/2024;26/04/2024;Aspirador 1/2;;Thais;216,67
01/06/2024;27/04/2024;Promove EPI 1/2;;Thais;2466,67
01/06/2024;28/04/2024;CAPPTA *LUCI-CT HOLZ W;;Thais;938,81
01/06/2024;29/04/2024;EDMUNDO ALEX-CT RO FE;;Thais;929,75
