id;data;competencia;responsavel;descricao;valor;categoria;subcategoria;tipo;observacao
37;08/03/2023;32.023;Rafa;Internet;765,01;Moradia;Internet;OPEX;
38;09/03/2023;32.023;Thais;Colchao 7/12;248,69;Moradia;Moveis_Eletros;CAPEX;
39;10/03/2023;32.023;Thais;Luz;1712,16;Moradia;Luz;OPEX;
40;11/03/2023;32.023;Thais;Caixa;1103,18;Investimento;AP315;INVESTIMENTO;
41;12/03/2023;32.023;Thais;Sofa 4/10;309,49;Moradia;Moveis_Eletros;CAPEX;
42;13/03/2023;32.023;Thais;Comer fora;1240,47;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
43;14/03/2023;32.023;Thais;Gasolina;90,8;Transporte;Gasolina;OPEX;
44;15/03/2023;32.023;Thais;Mercado;2273,75;Alimentacao;Mercado;OPEX;
45;16/03/2023;32.023;Thais;Casa;650,66;Moradia;Moveis_Eletros;CAPEX;
46;17/03/2023;32.023;Thais;Arikawa;1657,99;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
47;18/03/2023;32.023;Thais;Gordinho;782,72;Pet;Pet;OPEX;
48;19/03/2023;32.023;Thais;Carro 1/3;1302,57;Alimentacao;Mercado;OPEX;
49;20/03/2023;32.023;Thais;Farmacia;1369,04;Saude;Farmácia;BEM_ESTAR;
50;01/04/2023;42.023;Rafa;boleto AP1 mar/36;466,21;Investimento;AP315;INVESTIMENTO;
51;02/04/2023;42.023;Rafa;boleto AP2 mar/36;2424,11;Investimento;AP315;INVESTIMENTO;
52;03/04/2023;42.023;Rafa;boleto AP3 mar/36;1938,96;Investimento;AP315;INVESTIMENTO;
53;04/04/2023;42.023;Rafa;OCV ferragem;2349,05;Moradia;Manutencao_Reparos;OPEX;
54;05/04/2023;42.023;Rafa;OCV ferragem;2237,59;Moradia;Manutencao_Reparos;OPEX;
55;06/04/2023;42.023;Rafa;OCV ferragem;1496,76;Moradia;Manutencao_Reparos;OPEX;
56;07/04/2023;42.023;Rafa;GMAD;2305,08;Investimento;AP315;INVESTIMENTO;
57;08/04/2023;42.023;Rafa;Conectcat;225,79;Transporte;Pedagio;OPEX;
58;09/04/2023;42.023;Rafa;Aluguel;493,98;Moradia;Aluguel;OPEX;
59;10/04/2023;42.023;Rafa;Internet;117,84;Moradia;Internet;OPEX;
60;11/04/2023;42.023;Thais;Colchao 8/12;816,7;Moradia;Moveis_Eletros;CAPEX;
61;12/04/2023;42.023;Thais;Luz;974,75;Moradia;Luz;OPEX;
62;13/04/2023;42.023;Thais;Sofa 5/10;682,02;Moradia;Moveis_Eletros;CAPEX;
63;14/04/2023;42.023;Thais;Carro 2/3;2072,7;Alimentacao;Mercado;OPEX;
64;15/04/2023;42.023;Thais;Comer fora;895,1;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
65;16/04/2023;42.023;Thais;Hotel Pinhal;705,93;Lazer;Viagens;NAO_ESSENCIAL;
66;17/04/2023;42.023;Thais;Casa;1359,03;Moradia;Moveis_Eletros;CAPEX;
67;18/04/2023;42.023;Thais;Farmacia;356,61;Saude;Farmácia;BEM_ESTAR;
68;19/04/2023;42.023;Thais;Mercado;2006,48;Alimentacao;Mercado;OPEX;
69;20/04/2023;42.023;Thais;Gasolina;191;Transporte;Gasolina;OPEX;
70;21/04/2023;42.023;Thais;Fruteira;2467,28;Alimentacao;Mercado;OPEX;
71;22/04/2023;42.023;Thais;Juros obra;1931,75;Investimento;AP315;INVESTIMENTO;
72;23/04/2023;42.023;Thais;Cartorio;500,8;Investimento;AP315;INVESTIMENTO;
73;01/05/2023;52.023;Rafa;boleto AP1 abr/36;18,78;Investimento;AP315;INVESTIMENTO;
74;02/05/2023;52.023;Rafa;boleto AP2 abr/36;2039,58;Investimento;AP315;INVESTIMENTO;
75;03/05/2023;52.023;Thais;Colchao 9/12;1768,61;Moradia;Moveis_Eletros;CAPEX;
76;03/05/2023;52.023;Rafa;boleto AP3 abr/36;1823,87;Investimento;AP315;INVESTIMENTO;
77;04/05/2023;52.023;Rafa;AmazonPrime;1929,32;Lazer;Assinaturas;NAO_ESSENCIAL;
78;04/05/2023;52.023;Thais;Estacionamento;189,74;Transporte;Estacionamento;OPEX;
79;05/05/2023;52.023;Thais;Juros obra 4/36;899,37;Investimento;AP315;INVESTIMENTO;
80;05/05/2023;52.023;Rafa;Conectcat;294,09;Transporte;Pedagio;OPEX;
81;06/05/2023;52.023;Rafa;Aluguel;2158,44;Moradia;Aluguel;OPEX;
82;06/05/2023;52.023;Thais;Luz;1560,13;Moradia;Luz;OPEX;
83;07/05/2023;52.023;Thais;Sofa 6/10;830,59;Moradia;Moveis_Eletros;CAPEX;
84;07/05/2023;52.023;Rafa;Internet;163,58;Moradia;Internet;OPEX;
85;08/05/2023;52.023;Thais;Carro 3/3;780,9;Alimentacao;Mercado;OPEX;
86;08/05/2023;52.023;Rafa;Vet Gordo;816,33;Pet;Pet;OPEX;
87;09/05/2023;52.023;Thais;Amazon Music;1825,37;Lazer;Assinaturas;NAO_ESSENCIAL;
88;09/05/2023;52.023;Thais;Comer fora;1595,71;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
89;10/05/2023;52.023;Thais;Casa;2218,6;Moradia;Moveis_Eletros;CAPEX;
90;11/05/2023;52.023;Thais;Farmacia;1183,18;Saude;Farmácia;BEM_ESTAR;
91;12/05/2023;52.023;Thais;Mercado;303,39;Alimentacao;Mercado;OPEX;
92;13/05/2023;52.023;Thais;Gasolina;1784,55;Transporte;Gasolina;OPEX;
93;14/05/2023;52.023;Thais;Fruteira;1903,16;Alimentacao;Mercado;OPEX;
94;02/06/2023;62.023;Rafa;boleto AP1 mai/36;1405,39;Investimento;AP315;INVESTIMENTO;
95;03/06/2023;62.023;Rafa;boleto AP2 mai/36;1928,56;Investimento;AP315;INVESTIMENTO;
96;03/06/2023;62.023;Thais;Luz;1237,02;Moradia;Luz;OPEX;
97;04/06/2023;62.023;Rafa;boleto AP3 mai/36;1309,22;Investimento;AP315;INVESTIMENTO;
98;04/06/2023;62.023;Thais;Mercado;1071,71;Alimentacao;Mercado;OPEX;
99;05/06/2023;62.023;Rafa;AmazonPrime;68,42;Lazer;Assinaturas;NAO_ESSENCIAL;
100;05/06/2023;62.023;Thais;Arikawa;274,19;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
101;06/06/2023;62.023;Thais;Farmacia;83,42;Saude;Farmácia;BEM_ESTAR;
102;06/06/2023;62.023;Rafa;Cirurgia Gordo;1592,84;Pet;Pet;OPEX;
103;07/06/2023;62.023;Rafa;Pizzaria Tartalia;789,32;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
104;07/06/2023;62.023;Thais;Gasolina;1273,88;Transporte;Gasolina;OPEX;
105;08/06/2023;62.023;Thais;Bazar;2269,38;Moradia;Moveis_Eletros;CAPEX;
106;08/06/2023;62.023;Rafa;Pizzaria Tartalia;626,98;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
107;09/06/2023;62.023;Thais;Sofa 7/10;1028,91;Moradia;Moveis_Eletros;CAPEX;
108;09/06/2023;62.023;Rafa;Pomada Gordo;1890,1;Pet;Pet;OPEX;
109;10/06/2023;62.023;Thais;Plantas;575,85;Moradia;Moveis_Eletros;CAPEX;
110;10/06/2023;62.023;Rafa;Conectcat;197,06;Transporte;Pedagio;OPEX;
111;11/06/2023;62.023;Thais;Cafe Lila;727,93;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
112;11/06/2023;62.023;Rafa;Aluguel;407,25;Moradia;Aluguel;OPEX;
113;12/06/2023;62.023;Thais;Aplause;2324,6;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
114;12/06/2023;62.023;Rafa;Internet;2021,26;Moradia;Internet;OPEX;
115;13/06/2023;62.023;Thais;Ferragem;1585,34;Moradia;Manutencao_Reparos;OPEX;
116;13/06/2023;62.023;Rafa;Unisuper;2179,29;Alimentacao;Mercado;OPEX;
117;14/06/2023;62.023;Thais;Bazar;2010,16;Moradia;Moveis_Eletros;CAPEX;
118;14/06/2023;62.023;Rafa;Unisuper;470,49;Alimentacao;Mercado;OPEX;
119;15/06/2023;62.023;Thais;Vassourinha 1/2;2231,93;Moradia;Moveis_Eletros;CAPEX;
120;15/06/2023;62.023;Rafa;Unisuper;1350,66;Alimentacao;Mercado;OPEX;
121;16/06/2023;62.023;Thais;Amazon Music;2019,56;Lazer;Assinaturas;NAO_ESSENCIAL;
122;16/06/2023;62.023;Thais;Banca 12;2240,75;Alimentacao;Mercado;OPEX;
123;17/06/2023;62.023;Thais;casamento bebida;798,42;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
124;17/06/2023;62.023;Thais;Fruteira;279,58;Alimentacao;Mercado;OPEX;
125;18/06/2023;62.023;Thais;Colchao 10/12;573,7;Moradia;Moveis_Eletros;CAPEX;
126;18/06/2023;62.023;Thais;Juros obra 5/36;1070,63;Investimento;AP315;INVESTIMENTO;
127;19/06/2023;62.023;Thais;Megacompra;2045,95;Moradia;Moveis_Eletros;CAPEX;
128;20/06/2023;62.023;Thais;Presente casamento 1/3;2152,52;Pessoal;Presentes;NAO_ESSENCIAL;
129;04/07/2023;72.023;Thais;Farmacia;22,35;Saude;Farmácia;BEM_ESTAR;
130;05/07/2023;72.023;Thais;Bazar;1279,31;Moradia;Moveis_Eletros;CAPEX;
131;06/07/2023;72.023;Thais;Sofa 8/10;1046,44;Moradia;Moveis_Eletros;CAPEX;
132;06/07/2023;72.023;Rafa;boleto AP1 jun/36;559,16;Investimento;AP315;INVESTIMENTO;
133;07/07/2023;72.023;Rafa;boleto AP2 jun/36;304,06;Investimento;AP315;INVESTIMENTO;
134;07/07/2023;72.023;Thais;Comer fora;847,35;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
135;08/07/2023;72.023;Thais;Vassourinha 2/2;2357,56;Moradia;Moveis_Eletros;CAPEX;
136;08/07/2023;72.023;Rafa;boleto AP3 jun/36;811,39;Investimento;AP315;INVESTIMENTO;
137;09/07/2023;72.023;Thais;Juros obra 6/36;1299,38;Investimento;AP315;INVESTIMENTO;
138;09/07/2023;72.023;Rafa;AmazonPrime;1759,03;Lazer;Assinaturas;NAO_ESSENCIAL;
139;10/07/2023;72.023;Rafa;Carnes Kalunga;912,26;Alimentacao;Mercado;OPEX;
140;10/07/2023;72.023;Thais;Fruteira;2429,6;Alimentacao;Mercado;OPEX;
141;11/07/2023;72.023;Thais;Presente Tamara;2406,31;Pessoal;Presentes;NAO_ESSENCIAL;
142;11/07/2023;72.023;Rafa;Comida Gordo;633,2;Pet;Pet;OPEX;
143;12/07/2023;72.023;Rafa;Lavagem Carro;1245,64;Transporte;Manutencao_Reparos;OPEX;
144;13/07/2023;72.023;Rafa;Moveis Cleber;755,69;Moradia;Manutencao_Reparos;OPEX;
145;14/07/2023;72.023;Rafa;Aluguel;715,68;Moradia;Aluguel;OPEX;
146;15/07/2023;72.023;Rafa;Internet;97,03;Moradia;Internet;OPEX;
147;16/07/2023;72.023;Thais;Amazon Music;1525,86;Lazer;Assinaturas;NAO_ESSENCIAL;
148;17/07/2023;72.023;Thais;Colchao 11/12;1259,18;Moradia;Moveis_Eletros;CAPEX;
149;18/07/2023;72.023;Thais;Presente casamento 2/3;133,44;Pessoal;Presentes;NAO_ESSENCIAL;
150;19/07/2023;72.023;Thais;Luz;700,22;Moradia;Luz;OPEX;
151;20/07/2023;72.023;Thais;Mercado;2271,12;Alimentacao;Mercado;OPEX;
152;02/08/2023;82.023;Rafa;boleto AP1 jul/36;602,71;Investimento;AP315;INVESTIMENTO;
153;02/08/2023;82.023;Thais;Juros obra 6/36;366,51;Investimento;AP315;INVESTIMENTO;
154;03/08/2023;82.023;Rafa;boleto AP2 jul/36;1226,18;Investimento;AP315;INVESTIMENTO;
155;03/08/2023;82.023;Thais;Creatina;2464,2;Alimentacao;Mercado;OPEX;
156;04/08/2023;82.023;Rafa;boleto AP3 jul/36;608,93;Investimento;AP315;INVESTIMENTO;
157;04/08/2023;82.023;Thais;Chico Felliti;1681,98;Lazer;Entreterimento;NAO_ESSENCIAL;
158;05/08/2023;82.023;Rafa;Aluguel;1905,24;Moradia;Aluguel;OPEX;
159;05/08/2023;82.023;Thais;Gasosa;597,91;Transporte;Gasolina;OPEX;
160;06/08/2023;82.023;Rafa;Internet;1821,9;Moradia;Internet;OPEX;
161;06/08/2023;82.023;Thais;Banca 12;922,62;Alimentacao;Mercado;OPEX;
162;07/08/2023;82.023;Thais;kit chima;1582,6;Moradia;Moveis_Eletros;CAPEX;
163;07/08/2023;82.023;Rafa;Unisuper;1585,66;Alimentacao;Mercado;OPEX;
164;08/08/2023;82.023;Rafa;Unisuper;1341,76;Alimentacao;Mercado;OPEX;
165;09/08/2023;82.023;Rafa;Hiperbem;230,27;Alimentacao;Mercado;OPEX;
166;10/08/2023;82.023;Rafa;Fruteira;2089,08;Alimentacao;Mercado;OPEX;
167;11/08/2023;82.023;Thais;Amazon Music;805,35;Lazer;Assinaturas;NAO_ESSENCIAL;
168;12/08/2023;82.023;Thais;Cambota show;470,36;Lazer;Entreterimento;NAO_ESSENCIAL;
169;13/08/2023;82.023;Thais;Colchao 12/12;106,73;Moradia;Moveis_Eletros;CAPEX;
170;14/08/2023;82.023;Thais;Presente casamento 3/3;1479,28;Pessoal;Presentes;NAO_ESSENCIAL;
171;15/08/2023;82.023;Thais;produto de limpeza;1695,52;Moradia;Higiene;OPEX;
172;16/08/2023;82.023;Thais;Luz;46,39;Moradia;Luz;OPEX;
173;17/08/2023;82.023;Thais;Mercado;1282,67;Alimentacao;Mercado;OPEX;
174;18/08/2023;82.023;Thais;Farmacia;570,11;Saude;Farmácia;BEM_ESTAR;
175;19/08/2023;82.023;Thais;Ferragem;1614,71;Moradia;Manutencao_Reparos;OPEX;
176;20/08/2023;82.023;Thais;Sofa 9/10;440,04;Moradia;Moveis_Eletros;CAPEX;
177;21/08/2023;82.023;Thais;Comer fora;1728,89;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
178;22/08/2023;82.023;Thais;Mega Compra;969,9;Moradia;Moveis_Eletros;CAPEX;
179;03/09/2023;92.023;Rafa;boleto AP1 ago/36;2342,14;Investimento;AP315;INVESTIMENTO;
180;04/09/2023;92.023;Rafa;boleto AP2 ago/36;348,11;Investimento;AP315;INVESTIMENTO;
181;05/09/2023;92.023;Thais;Sofa 10/10;855,96;Moradia;Moveis_Eletros;CAPEX;
182;05/09/2023;92.023;Rafa;boleto AP3 ago/36;288,12;Investimento;AP315;INVESTIMENTO;
183;06/09/2023;92.023;Thais;Comer fora;2312,11;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
184;06/09/2023;92.023;Rafa;Carne Vinicius;2193,96;Alimentacao;Mercado;OPEX;
185;07/09/2023;92.023;Thais;Jarra eletrica 1/3;648,56;Moradia;Moveis_Eletros;CAPEX;
186;07/09/2023;92.023;Rafa;Chips expointer;1651,66;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
187;08/09/2023;92.023;Thais;Ferragem;2043,97;Moradia;Manutencao_Reparos;OPEX;
188;08/09/2023;92.023;Rafa;Dsw Bichomimado;1390,23;Pet;Pet;OPEX;
189;09/09/2023;92.023;Thais;Chico Felliti;1326,48;Lazer;Entreterimento;NAO_ESSENCIAL;
190;09/09/2023;92.023;Rafa;Estacionamento;608,42;Transporte;Estacionamento;OPEX;
191;10/09/2023;92.023;Thais;Banca 12;237,29;Alimentacao;Mercado;OPEX;
192;10/09/2023;92.023;Rafa;Mercado das frutas;2243,55;Alimentacao;Mercado;OPEX;
193;11/09/2023;92.023;Thais;Luz;2251,54;Moradia;Luz;OPEX;
194;11/09/2023;92.023;Rafa;Mercado Itapema;1584,59;Alimentacao;Mercado;OPEX;
195;12/09/2023;92.023;Thais;Expointer;850,88;Lazer;Passeio;NAO_ESSENCIAL;
196;12/09/2023;92.023;Rafa;OCV Ferragem;876,28;Moradia;Manutencao_Reparos;OPEX;
197;13/09/2023;92.023;Rafa;Posto Sorocaba;1816,26;Transporte;Gasolina;OPEX;
198;14/09/2023;92.023;Rafa;Queijo Expointer;2243,29;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
199;15/09/2023;92.023;Rafa;Sim Freeway;2218,28;Transporte;Gasolina;OPEX;
200;16/09/2023;92.023;Rafa;Suco expointer;1950,79;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
201;17/09/2023;92.023;Rafa;Unisuper 26.08;1606,87;Alimentacao;Mercado;OPEX;
202;18/09/2023;92.023;Rafa;Aluguel;214,93;Moradia;Aluguel;OPEX;
203;19/09/2023;92.023;Rafa;Internet;408,26;Moradia;Internet;OPEX;
204;20/09/2023;92.023;Rafa;Almoco itapema dos Pais;2246,89;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
205;21/09/2023;92.023;Rafa;Pao Expointer;1518,04;Lazer;Passeio;NAO_ESSENCIAL;
206;22/09/2023;92.023;Rafa;Forcafe;27,95;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
207;23/09/2023;92.023;Thais;Amazon Music;258,17;Lazer;Assinaturas;NAO_ESSENCIAL;
208;24/09/2023;92.023;Thais;Juros obra 4/36;1660,44;Investimento;AP315;INVESTIMENTO;
209;25/09/2023;92.023;Thais;Mercado;17,63;Alimentacao;Mercado;OPEX;
210;26/09/2023;92.023;Thais;Farmacia;406,22;Saude;Farmácia;BEM_ESTAR;
211;27/09/2023;92.023;Thais;Farmacenter;1374,09;Saude;Farmácia;BEM_ESTAR;
212;28/09/2023;92.023;Thais;Ingressos;1731,28;Lazer;Passeio;NAO_ESSENCIAL;
213;29/09/2023;92.023;Thais;Lencol;1631,64;Pessoal;outros;NAO_ESSENCIAL;
214;30/09/2023;92.023;Thais;Sta Catarina;564,55;Lazer;Passeio;NAO_ESSENCIAL;
215;05/10/2023;102.023;Rafa;boleto AP1 ago/36;1781,89;Investimento;AP315;INVESTIMENTO;
216;06/10/2023;102.023;Rafa;boleto AP2 ago/36;596,94;Investimento;AP315;INVESTIMENTO;
217;07/10/2023;102.023;Rafa;boleto AP3 ago/36;816,87;Investimento;AP315;INVESTIMENTO;
218;08/10/2023;102.023;Rafa;Carnes Kalunga;1867,5;Alimentacao;Mercado;OPEX;
219;09/10/2023;102.023;Thais;Troca oleo;1625,83;Transporte;Manutencao_Reparos;OPEX;
220;09/10/2023;102.023;Rafa;Carnes Vinicius;2123,81;Alimentacao;Mercado;OPEX;
221;10/10/2023;102.023;Rafa;Posto Tadeu;1645,74;Transporte;Gasolina;OPEX;
222;11/10/2023;102.023;Rafa;Aluguel;1422,93;Moradia;Aluguel;OPEX;
223;12/10/2023;102.023;Rafa;Internet;238,72;Moradia;Internet;OPEX;
224;13/10/2023;102.023;Rafa;OCV;922,45;Moradia;Manutencao_Reparos;OPEX;
225;14/10/2023;102.023;Rafa;Unisuper;666,68;Alimentacao;Mercado;OPEX;
226;15/10/2023;102.023;Thais;Amazon Music;613,75;Lazer;Assinaturas;NAO_ESSENCIAL;
227;16/10/2023;102.023;Thais;Juros obra 5;2432,66;Investimento;AP315;INVESTIMENTO;
228;17/10/2023;102.023;Thais;Mercado;985,78;Alimentacao;Mercado;OPEX;
229;18/10/2023;102.023;Thais;Frutaria;2230,66;Alimentacao;Mercado;OPEX;
230;19/10/2023;102.023;Thais;Estacionamento;1579,69;Transporte;Estacionamento;OPEX;
231;20/10/2023;102.023;Thais;casa;1988,05;Moradia;Moveis_Eletros;CAPEX;
232;21/10/2023;102.023;Thais;Assistencia;1259,08;Moradia;Manutencao_Reparos;OPEX;
233;22/10/2023;102.023;Thais;Gasolina;1444,38;Transporte;Gasolina;OPEX;
234;23/10/2023;102.023;Thais;Comer fora;1233,83;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
235;24/10/2023;102.023;Thais;Jarra eletrica 2/3;492,13;Moradia;Moveis_Eletros;CAPEX;
236;25/10/2023;102.023;Thais;Esquimo;1807,52;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
237;26/10/2023;102.023;Thais;Novarejosa;705,53;Pessoal;outros;NAO_ESSENCIAL;
238;27/10/2023;102.023;Thais;kalunga;65,67;Alimentacao;Mercado;OPEX;
239;28/10/2023;102.023;Thais;Luz;1615,45;Moradia;Luz;OPEX;
240;29/10/2023;102.023;Thais;Produto de limpeza;446,89;Moradia;Higiene;OPEX;
241;30/10/2023;102.023;Thais;B12;2351,44;Alimentacao;Mercado;OPEX;
242;03/11/2023;112.023;Thais;Luz;2385,05;Moradia;Luz;OPEX;
243;04/11/2023;112.023;Thais;Carne;2287,59;Alimentacao;Mercado;OPEX;
244;05/11/2023;112.023;Thais;Fruteira;928,55;Alimentacao;Mercado;OPEX;
245;06/11/2023;112.023;Thais;whey;43,56;Alimentacao;Mercado;OPEX;
246;07/11/2023;112.023;Thais;Habbibs;2321,15;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
247;08/11/2023;112.023;Thais;Mercado;1073,32;Alimentacao;Mercado;OPEX;
248;09/11/2023;112.023;Thais;Panvel;2416,8;Saude;Farmácia;BEM_ESTAR;
249;10/11/2023;112.023;Thais;Comer fora sushi;2409,23;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
250;11/11/2023;112.023;Thais;Cafe;2133,26;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
251;12/11/2023;112.023;Rafa;Aluguel;739,65;Moradia;Aluguel;OPEX;
252;13/11/2023;112.023;Rafa;Internet;965,82;Moradia;Internet;OPEX;
253;14/11/2023;112.023;Rafa;boleto AP1 ago/36;2128,59;Investimento;AP315;INVESTIMENTO;
254;15/11/2023;112.023;Rafa;boleto AP2 ago/36;795,72;Investimento;AP315;INVESTIMENTO;
255;16/11/2023;112.023;Rafa;boleto AP3 ago/36;427,88;Investimento;AP315;INVESTIMENTO;
256;17/11/2023;112.023;Rafa;Habbibs;1394,22;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
257;18/11/2023;112.023;Rafa;OCV Ferragem;2340,71;Moradia;Manutencao_Reparos;OPEX;
258;19/11/2023;112.023;Rafa;Faxina;1741,59;Moradia;Faxina;OPEX;
259;05/12/2023;122.023;Rafa;boleto AP1 set/36;1427,3;Investimento;AP315;INVESTIMENTO;
260;06/12/2023;122.023;Rafa;boleto AP2 set/36;247,46;Investimento;AP315;INVESTIMENTO;
261;07/12/2023;122.023;Rafa;boleto AP3 set/36;1539,44;Investimento;AP315;INVESTIMENTO;
262;08/12/2023;122.023;Rafa;Kabum Alexa Natal;2475,18;Moradia;Moveis_Eletros;CAPEX;
263;09/12/2023;122.023;Rafa;Racao Gordo;354,51;Pet;Pet;OPEX;
264;10/12/2023;122.023;Rafa;Aluguel;1298,23;Moradia;Aluguel;OPEX;
265;11/12/2023;122.023;Rafa;Internet;2194,05;Moradia;Internet;OPEX;
266;12/12/2023;122.023;Rafa;Faxina 2x;1853,22;Moradia;Faxina;OPEX;
267;13/12/2023;122.023;Thais;Amazon Prime;1744,05;Lazer;Assinaturas;NAO_ESSENCIAL;
268;14/12/2023;122.023;Thais;Manutencao Etios 1/4;1757,7;Transporte;Manutencao_Reparos;OPEX;
269;15/12/2023;122.023;Thais;Luz;901,93;Moradia;Luz;OPEX;
270;16/12/2023;122.023;Thais;Juros Obra;737,51;Investimento;AP315;INVESTIMENTO;
271;17/12/2023;122.023;Thais;Juros Obra;2024,36;Investimento;AP315;INVESTIMENTO;
272;18/12/2023;122.023;Thais;jarra 3/3;2026,23;Moradia;Moveis_Eletros;CAPEX;
273;19/12/2023;122.023;Thais;Mercado;2168,35;Alimentacao;Mercado;OPEX;
274;20/12/2023;122.023;Thais;Carne;2283,54;Alimentacao;Mercado;OPEX;
275;21/12/2023;122.023;Thais;Gravatai;1280,8;Alimentacao;Restaurante_Delivery;NAO_ESSENCIAL;
276;22/12/2023;122.023;Thais;Fruteira;1256,28;Alimentacao;Mercado;OPEX;
